id,original,generation,processed_generation,original_id,system,rating_1,rating_2,rating_3,rating_4,rating_5,rating_1_z_score,rating_2_z_score,rating_3_z_score,rating_4_z_score,rating_5_z_score
0,"In late 2004, Suleman made headlines by cutting Howard Stern's radio show from four Citadel stations, citing Stern's frequent discussions regarding his upcoming move to Sirius Satellite Radio.","In late 2004, suleman made headlines by cutting howard stern 's radio show from four citadel stations.","In late 2004, Suleman made headlines by cutting Howard Stern's radio show from four Citadel stations.",0,lstm_w_split,73,88,95,85,87,0.5792593843343621,0.9297421571688388,1.036964443008244,0.737098109856763,0.410030651911366
1,"In late 2004, Suleman made headlines by cutting Howard Stern's radio show from four Citadel stations, citing Stern's frequent discussions regarding his upcoming move to Sirius Satellite Radio.","In late 2004, suleman made headlines by cutting howard stern 's radio show from four citadel stations.","In late 2004, Suleman made headlines by cutting Howard Stern's radio show from four Citadel stations.",0,editnts_w_split,73,88,95,85,87,0.5792593843343621,0.9297421571688388,1.036964443008244,0.737098109856763,0.410030651911366
2,"In late 2004, Suleman made headlines by cutting Howard Stern's radio show from four Citadel stations, citing Stern's frequent discussions regarding his upcoming move to Sirius Satellite Radio.","In late 2004, suleman made headlines by cutting howard stern 's radio show from four citadel stations.","In late 2004, Suleman made headlines by cutting Howard Stern's radio show from four Citadel stations.",0,Dress-Ls.lower,73,88,95,85,87,0.5792593843343621,0.9297421571688388,1.036964443008244,0.737098109856763,0.410030651911366
3,"In late 2004, Suleman made headlines by cutting Howard Stern's radio show from four Citadel stations, citing Stern's frequent discussions regarding his upcoming move to Sirius Satellite Radio.","In late 2004, suleman made headlines by cutting howard stern 's radio show from four citadel trains , reporting stern 's serious questions.","In late 2004, Suleman made headlines by cutting Howard Stern's radio show from four Citadel Trains, reporting Stern's serious questions.",0,RM+EX+LS+RO,50,83,82,50,52,-0.8285522137562512,0.3353386708446532,0.1262157564400907,-0.6786247123761923,-0.840890935280313
4,"In late 2004, Suleman made headlines by cutting Howard Stern's radio show from four Citadel stations, citing Stern's frequent discussions regarding his upcoming move to Sirius Satellite Radio.",", suleman made headlines , citing stern 's discussions.",", Suleman made headlines, citing Stern's discussions.",0,Hybrid.lower,51,69,90,20,50,-0.7673430138392681,-1.3289910908630664,0.6866764866358774,-1.892101417147297,-0.9123721688341232
5,"In late 2004, Suleman made headlines by cutting Howard Stern's radio show from four Citadel stations, citing Stern's frequent discussions regarding his upcoming move to Sirius Satellite Radio.","In 2004, suleman said he was going to talk about his move to sirius satellite radio.","In 2004, Suleman said he was going to talk about his move to Sirius Satellite Radio.",0,transformer_w_split,55,75,75,70,45,-0.5225062141713352,-0.6157069072740436,-0.3641873824812227,0.1303597574712107,-1.0910752527186487
6,"In late 2004, Suleman made headlines by cutting Howard Stern's radio show from four Citadel stations, citing Stern's frequent discussions regarding his upcoming move to Sirius Satellite Radio.","In late 2004, Suleman made complaints by cutting Howard cutting","In late 2004, Suleman made complaints by cutting Howard Cutting",0,UNTS,52,63,60,8,0,-0.7061338139222848,-2.042275274452089,-1.415051251598323,-2.377492099055739,-2.6994030076793787
7,"In late 2004, Suleman made headlines by cutting Howard Stern's radio show from four Citadel stations, citing Stern's frequent discussions regarding his upcoming move to Sirius Satellite Radio.","In late 2004, Suleman made headlines by cutting Howard Stern's radio show from four Citadel stations.","In late 2004, Suleman made headlines by cutting Howard Stern's radio show from four Citadel stations.",0,T5-3B,73,88,95,85,87,0.5792593843343621,0.9297421571688388,1.036964443008244,0.737098109856763,0.410030651911366
8,"In late 2004, Suleman made headlines by cutting Howard Stern's radio show from four Citadel stations, citing Stern's frequent discussions regarding his upcoming move to Sirius Satellite Radio.","Late in  2004, Suleman made headlines by cutting Howard Stern's radio show from four Citadel stantions, saying it was due to Stern's many talks about his upcoming move to Sirius Satellite Radio.","Late in  2004, Suleman made headlines by cutting Howard Stern's radio show from four Citadel stantions, saying it was due to Stern's many talks about his upcoming move to Sirius Satellite Radio.",0,new_turk_corpus_random,65,82,100,72,100,0.0895857849984965,0.216457973579816,1.387252399380611,0.2112582044559511,0.8746586700111324
9,"In late 2004, Suleman made headlines by cutting Howard Stern's radio show from four Citadel stations, citing Stern's frequent discussions regarding his upcoming move to Sirius Satellite Radio.","At the end of 2004, Suleman made headlines by cutting Howard Stern's radio show from four Citadel stations, saying that Stern's frequent discussions about his upcoming move to Sirius Satellite Radio were the reason why.","At the end of 2004, Suleman made headlines by cutting Howard Stern's radio show from four Citadel stations, saying that Stern's frequent discussions about his upcoming move to Sirius Satellite Radio were the reason why.",0,asset.test.simp,64,90,100,85,100,0.0283765850815133,1.1675035516985128,1.387252399380611,0.737098109856763,0.8746586700111324
