sent_id,sys_name,orig_sent,simp_sent,sys_type,fluency,fluency_zscore,meaning,meaning_zscore,simplicity,simplicity_zscore
268,ACCESS,"Prunk is a member of Institute of European History in Mainz, and a senior fellow of the Center for European Integration Studies in Bonn.",Prunk is a member of Institute of European History in Mainz. He was also a member of the Center for European Integration Studies in Bonn.,NeuralSeq2Seq,77.4,0.152399526,77.33333333,0.5303620960000001,71.33333333,0.611059647
67,SBMT-SARI,"In return, Rollo swore fealty to Charles, converted to Christianity, and undertook to defend the northern region of France against the incursions of other Viking groups.","In return, Rollo swore fealty to Charles, converted to Christianity, and set out to defend the north of France from the raids of other Viking groups.",SBMT,87.86666667,0.512594701,96.46666667,1.142802755,90.93333333,1.257177276
341,SBMT-SARI,"From 1900 to 1920 many new facilities were constructed on campus, including facilities for the dental and pharmacy programs, a chemistry building, a building for the natural sciences, Hill Auditorium, large hospital and library complexes, and two residence halls.","From 1900 to 1920 many new plants were built on campus, such as sites for the dental and pharmacy programs, a chemistry building, a building for the natural science, Hill Hall, large hospital and library complex, and the two Home halls.",SBMT,79.13333333,0.119438197,68.53333333,0.28470104399999996,53.8,0.158894338
278,PBMT-R,"Mercury is similar in appearance to the Moon: it is heavily cratered with regions of smooth plains, has no natural satellites and no substantial atmosphere.","Mercury is similar in appearance to the Moon: it is very cratered with regions of smooth plains, has no moons and no substantial atmosphere.",PBMT,90.33333333,0.5981447320000001,90.66666667,0.965649058,71.6,0.664848084
107,Hybrid,"He settled in London, devoting himself chiefly to practical teaching.","He settled in London, devoting himself.",Semantics+PBMT,65.46666667,-0.425792469,32.06666667,-0.8200347170000001,27.73333333,-0.577386726
208,DMASS-DCSS,The plant is considered a living fossil.,The plant is thought to be a living fossil.,NeuralSeq2Seq,89.66666667,0.509301337,96.4,1.102373327,66.6,0.558289615
343,DMASS-DCSS,"Name Arzashkun seems to be the Assyrian form of an Armenian name ending in -ka formed from a proper name Arzash, which recalls the name Arsene, Arsissa, applied by the ancients to part of Lake Van.","Name Arzashkun seems to be the Assyrian form of an Urartian name ending in - ka formed from a proper name recalls, which Arzash the name Arsene, Arsissa, applied by the ancients to part of Lake Van.",NeuralSeq2Seq,52.6,-0.729241068,51.6,-0.277973311,20.93333333,-0.8327030870000001
108,SBMT-SARI,"Brunstad has several fast food restaurants, a cafeteria-style restaurant, coffee bar, and its own grocery store.","Brunstad has a number of fast food restaurants, a cafeteria-style restaurant, coffee bar, and its own store.",SBMT,91.4,0.524294643,85.06666667,0.739154144,73.06666667,0.70952018
196,DMASS-DCSS,"Prospectors from California, Europe and China were also digging along the Peel River and up the mountain slopes.","In California, Europe and China were also digging along the Peel River and the mountain slopes.",NeuralSeq2Seq,70.8,-0.104385302,37.93333333,-0.702337161,35.53333333,-0.390712137
11,PBMT-R,"Alessandro (""Sandro"") Mazzola (born 8 November 1942) is an Italian former football player.",Sandro Mazzola (born 8 November 1942) is a former Italian football player.,PBMT,95.2,0.6947622370000001,89.66666667,0.89381603,72.8,0.70149831
157,PBMT-R,"A few animals have chromatic response, changing color in changing environments, either seasonally (ermine, snowshoe hare) or far more rapidly with chromatophores in their integument (the cephalopod family).","A few animals have chromatic response, changing color in changing environments, either seasonally (stoat, snowshoe hare) or more quickly with chromatophores in their integument (the cephalopod family).",PBMT,88.73333333,0.459241533,79.4,0.573189159,54.6,0.148119069
274,SBMT-SARI,These attacks may have been psychological in origin rather than physical.,These attacks may have been mental in source instead of physical.,SBMT,92.0,0.495790135,90.33333333,0.94095743,54.2,0.190837093
159,ACCESS,This closely resembles the Unix philosophy of having multiple programs each doing one thing well and working together over universal interfaces.,This closely looks like the Unix philosophy of having more than one program doing one thing well and working together.,NeuralSeq2Seq,87.8,0.446060182,86.0,0.820854025,79.8,0.982938303
231,DMASS-DCSS,"The term gribble was originally assigned to the wood-boring species, especially the first species described from Norway by Rathke in 1799, Limnoria lignorum.","The first species were discovered from Norway by Rathke in 1799, Limnoria lignorum.",NeuralSeq2Seq,74.26666667,-0.031861716,34.93333333,-0.7954588859999999,42.26666667,-0.21533397
81,SBMT-SARI,The same tram had derailed on 30 May 2006 at Starr Gate loop during previous trials.,The same tram had derailed on 30 May 2006 at Starr Gate loop in past tests.,SBMT,89.06666667,0.443590838,93.0,1.010839586,81.06666667,0.948832819
219,PBMT-R,He was appointed Companion of Honour (CH) in 1988.,He was made a Companion of Honour in 1988.,PBMT,88.73333333,0.541351126,93.93333333,1.080318171,80.26666667,0.871920789
160,PBMT-R,"He came from a musical family; his mother, LaRue, was an administrative assistant and singer, and his father, Keith Brion, was a band director at Yale.","He came from a musical family. His mother, LaRue, was an assistant and singer, and his father, Keith Brion, was a band director at Yale University.",PBMT,85.0,0.436296419,92.53333333,1.051800981,81.13333333,0.879492017
325,Dress-Ls,"In 1963 an extension was added, curving north from Union station, below University Avenue and Queen's Park to near Bloor Street, where it turned west to terminate at St. George and Bloor Streets.","In 1963 an extension was added, curving north from Union station.",NeuralSeq2Seq,89.66666667,0.499807634,59.06666667,-0.008141628,75.33333333,0.675182649
275,Hybrid,"A historian has stated that ""it was quinine's efficacy that gave colonists fresh opportunities to swarm into the Gold Coast, Nigeria and other parts of west Africa"".","A historian has stated that ""it was quinine's efficacy that gave colonists fresh opportunities to swarm into the Gold Nigeria coast, and other parts of west Africa"".",Semantics+PBMT,79.8,0.147488346,57.53333333,-0.057318897,38.0,-0.34182103399999997
93,SBMT-SARI,Oregano is an indispensable ingredient in Greek cuisine.,Oregano is a vital element in Greek cuisine.,SBMT,94.73333333,0.673556668,94.73333333,1.1108661659999999,86.13333333,1.139705675
213,DMASS-DCSS,Roof tiles dating back to the Tang Dynasty with this symbol have been found west of the ancient city of Chang'an (modern-day Xian).,The Colosseum is a river in the old location@2. It was first found in number@1 by the French explorer Tang Dynasty.,NeuralSeq2Seq,44.33333333,-1.016724822,10.2,-1.5929965209999999,12.4,-1.264175145
295,ACCESS,"Heavy rain fell across portions of Britain on October 5, causing localized accumulation of flood waters.",Heavy rain fell across parts of Britain on October 5. This caused flood water to flood the waters.,NeuralSeq2Seq,59.4,-0.534368975,60.8,0.007813926,33.6,-0.599123026
309,ACCESS,He bolted from Sydney Cove several times before being shot dead in 1796.,He moved from Sydney Cove several times before being shot dead in 1796.,NeuralSeq2Seq,87.86666667,0.468515302,91.86666667,0.935499539,83.0,0.830267102
197,PBMT-R,"Before the advent of the pocket calculator, it was the most commonly used calculation tool in science and engineering.","Before the invention of the pocket calculator, it was the most commonly used calculation tool in science and engineering.",PBMT,90.0,0.477897965,96.33333333,1.153978984,86.26666667,1.054849302
266,Hybrid,"Addiscombe is a suburb in the London Borough of Croydon, England.","Addiscombe is a suburb in the borough of London Croydon, England.",Semantics+PBMT,93.26666667,0.6306797160000001,71.53333333,0.321947886,49.13333333,-0.090450763
303,Dress-Ls,"The body color varies from medium brown to gold-ish to beige-white; and occasionally, is marked with dark brown spots, especially on the limbs.",The body color varies from medium brown to gold-ish to beige-white.,NeuralSeq2Seq,91.33333333,0.617537817,69.93333333,0.22584074399999998,77.66666667,0.79768658
113,Hybrid,"The current lineup of the band comprises Flynn (vocals, guitar), Duce (bass), Phil Demmel (guitar), and Dave McClain (drums).","Comprises the lineup Flynn (vocals, guitar, bass) Duce (), Phil Demmel () guitar, drums and Dave McClain ().",Semantics+PBMT,46.53333333,-1.00143502,42.73333333,-0.557863597,18.06666667,-0.868193047
318,ACCESS,"Waugh writes that Charles had been ""in search of love in those days"" when he first met Sebastian, finding ""that low door in the wall... which opened on an enclosed and enchanted garden"", a metaphor that informs the work on a number of levels.","Waugh writes that Charles had been styled in search of love in those days, when he first met Sebastian, found out that low door in the wall had been in search of love in those days. This was a metaphor that tells the work on a number of levels.",NeuralSeq2Seq,47.8,-0.831018413,60.26666667,-0.03697092,26.6,-0.613187402
158,SBMT-SARI,Val Venis defeated Rikishi in a Steel cage match to retain the WWF Intercontinental Championship (14:10) Venis pinned Rikishi after Tazz hit Rikishi with a TV camera.,Val Venis beat Rikishi in a steel cage match to keep the WWF ICBM open (14:10) Venis pinned Rikishi after Tazz hit Rikishi with a TV camera.,SBMT,80.13333333,0.174655036,72.6,0.330617465,42.6,-0.141758509
354,ACCESS,"This quantitative measure indicates how much of a particular drug or other substance (inhibitor) is needed to inhibit a given biological process (or component of a process, i.e. an enzyme, cell, cell receptor or microorganism) by half.","This measure indicates how much of a particular drug or other substance (inhibitor) is needed to make a given biological process (or part of a process, i.e. an enzyme, cell receptor or microorganism) by half.",NeuralSeq2Seq,77.2,0.143869617,77.13333333,0.435236901,56.53333333,0.24738993899999998
71,Dress-Ls,"Hinterrhein is an administrative district in the canton of Graubünden, Switzerland.",Hinterrhein is a district of the canton of Graubünden in Switzerland.,NeuralSeq2Seq,86.13333333,0.379663221,85.6,0.789135868,68.33333333,0.620314166
330,SBMT-SARI,Google subsequently made the comic available on Google Books and their site and mentioned it on its official blog along with an explanation for the early release.,Google then made the comic available on Google Books and their site and said it on its official blog as well as a reason for the early release.,SBMT,62.6,-0.33855629,81.86666667,0.678752134,54.93333333,0.22198065399999997
